,Horodateur,Boutique,code postal,Depuis combien de temps êtes vous un client de la Maison Pariès ?,A quelle fréquence venez-vous nous rendre visite ?,Comment nous avez-vous connus ?,"En 2 mots, comment définiriez-vous la Maison ?",A quelle(s) occasion(s) effectuez-vous des achats chez nous,Quel est le produit que vous préférez ?,Quel est le dernier produit de la gamme Pariès que vous connaissez ?,8. Quels sont les produits de nos gammes que vous achetez chez d’autres artisans ?,Pourquoi ?,Où achetez-vous nos produits ?,Avez-vous déjà eu l’occasion de commander nos produits sur notre site en ligne ?,"Si vous n'êtes pas de la région, aimeriez-vous pouvoir trouver nos produits à proximité de votre domicile ?",Pourquoi ?.1,Que devons-nous faire pour progresser ?,"14. Dans les grandes évolutions de la consommation, quelles sont les 3 qui vous tiennent le plus à cœur ?",Sexe,Quelle est votre catégorie socio-professionnelle ?,Tranche d'âge,de combien de personnes se compose votre foyer ?,"S'il y a des enfants dans votre foyer, quel âge ont-ils ?",Êtes-vous abonné à notre newsletter ?,"Si non, confiez-moi votre adresse mail pour recevoir notre actualité (moins de 10 mails par an)"
14,2022-06-08,St Jean,64***,Depuis toujours,visite hebdomadaire,"bouche à oreille; avec vos parents, votre famille",Savoureux; Tradition,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Pâtisseries Russe,Je ne sais pas,Vienoiseries,Proximité,Toujours dans la même boutique,Non,,,Je ne sais pas,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Etudiant,15/17,3.0,,Non,
15,2022-06-08,St Jean,97411,Depuis quelques années,visite exceptionnelle,"avec vos parents, votre famille",Excellent; Tradition,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,oui,Gateau basque,Ouvrir à l'île de la réunion,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Profession libérale,50/64,2.0,,Non,
16,2022-06-08,St Jean,64500,Depuis toujours,visite mensuelle,"avec vos parents, votre famille",Efficacité; Savoureux,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Kanougas,Gateau basque aux agrumes,Chocolat,Bon aussi ailleurs,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Retraité,50/64,2.0,,Non,
17,2022-06-08,St Jean,33830,Depuis quelques années,visite exceptionnelle,bouche à oreille,Qualité; Tradition,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Mouchous,Je ne sais pas,Macarons,Proximité,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,35/49,4.0,entre 5 et 10 ans,Non,
18,2022-06-08,St Jean,65100,C’est une de mes premières visites,visite exceptionnelle,par hasard en passant devant,Bon; Accueillant,pour me faire plaisir,Mouchous,,Chocolat,Proximité,Toujours dans la même boutique,Non,oui,Mouchous,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,18/24,1.0,,Non,**********
19,2022-06-08,St Jean,33320,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Savoureux; Attrayant,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Je ne sais pas,Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,35/49,3.0,plus de 15 ans,Non,
20,2022-06-08,St Jean,75007,Depuis quelques années,visite mensuelle,par hasard en passant devant; bouche à oreille,Innovation; Dynamique,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Espelines,Chocolat; Pâtisseries,Habitude,Toujours dans la même boutique,Non,,,Je ne sais pas,Alimentation santé bien être et transparence; Faire soi-même; Tradition et authenticité,Femme,Sans profession,50/64,5.0,plus de 15 ans,Oui,
21,2022-06-08,St Jean,16330,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Savoureux; Originalité,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Mouchous,Je ne sais pas,Chocolat,Proximité,Toujours dans la même boutique,Non,oui,Mouchous,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,50/64,2.0,,Non,
22,2022-06-08,St Jean,21000,C’est une de mes premières visites,C'est la première fois !,"avec vos parents, votre famille",Excellent,pour régaler ma famille; pour faire un cadeau,,,Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,oui,Mouchous,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Cadre et profession intellectuelle supérieure,50/64,4.0,plus de 15 ans,Non,**********
23,2022-06-08,St Jean,40990,Depuis toujours,visite exceptionnelle,par hasard en passant devant,Savoureux; Tradition,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque cerise,Mouchous,Aucun,,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan); Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Cadre et profession intellectuelle supérieure,50/64,2.0,,Non,
24,2022-06-08,St Jean,64122,Depuis toujours,visite mensuelle,bouche à oreille,Bon; Savoureux,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Mouchous,Gateau basque chocolat,Chocolat; Gateau basque,Proximité,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Etudiant,18/24,5.0,plus de 15 ans,Non,
25,2022-06-08,St Jean,64500,Depuis quelques années,visite hebdomadaire,par hasard en passant devant; bouche à oreille,Qualité; Accueillant,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Chocolat,Pâtisseries Tarte aux fruits,Aucun,,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Retraité,65 et +,2.0,,Non,
26,2022-06-08,St Jean,64122,Depuis quelques années,visite exceptionnelle,bouche à oreille,Accueillant; Bon,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Chocolat,Gateau basque,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Retraité,65 et +,2.0,,Non,
27,2022-06-08,St Jean,64310,Depuis quelques années,visite mensuelle,par hasard en passant devant,Bon,Noël,Mouchous,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,50/64,4.0,plus de 15 ans,Non,
28,2022-06-08,St Jean,40330,C’est une de mes premières visites,visite exceptionnelle,"avec vos parents, votre famille",Belle; Bon,pour me faire plaisir; pour faire un cadeau,Je ne sais pas,,,,,Non,,,Je ne sais pas,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Retraité,65 et +,2.0,,Non,**********
29,2022-06-08,St Jean,64500,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Bien; Bon,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Chocolat,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Retraité,65 et +,1.0,,Non,**********
30,2022-06-08,St Jean,64150,Depuis quelques années,visite exceptionnelle,Cadeau,Bon,pour me faire plaisir; quand je reçois du monde ou quand je suis invitée; Fêtes,Gateau basque,Mouchous,Macarons,Bon aussi ailleurs,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Femme,Retraité,50/64,2.0,,Non,
31,2022-06-08,St Jean,33170,Depuis quelques années,visite exceptionnelle,"avec vos parents, votre famille",Super; Accueillant,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Mouchous,,Pâtisseries,Proximité,Toujours dans la même boutique,Non,oui,Mouchous,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan), Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Retraité,50/64,2.0,,Non,
32,2022-06-08,St Jean,30210,Depuis quelques années,visite exceptionnelle,Location de vacances,Bon; Bien,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Chocolat,Proximité,Toujours dans la même boutique,Non,oui,Gateau basque,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Tradition et authenticité",Homme,"Artisan, commerçant, chef d'entreprise",35/49,2.0,,Non,
33,2022-06-08,St Jean,64***,Depuis toujours,visite mensuelle,"avec vos parents, votre famille",Bon; Bien,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Glaces,Je ne sais pas,Macarons,Bon aussi ailleurs,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Femme,Retraité,65 et +,4.0,- de 5 ans,Non,
34,2022-06-08,St Jean,33560,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Variété; Propre,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque; Mouchous,Je ne sais pas,Macarons,Macarons moins sucrés ailleurs,Toujours dans la même boutique,Non,,,Macarons trop sucrés,Alimentation santé bien être et transparence; Faire soi-même; Tradition et authenticité,Femme,Employé,50/64,3.0,plus de 15 ans,Non,
35,2022-06-08,St Jean,65290,Depuis quelques années,visite exceptionnelle,par hasard en passant devant;  bouche à oreille,Bon; Accueillant,pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Kanougas,Espelines,Aucun,,Toujours dans la même boutique,Non,Non,Associé à la région,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Cadre et profession intellectuelle supérieure,50/64,4.0,plus de 15 ans,Non,
36,2022-06-08,St Jean,64200,Depuis toujours,visite mensuelle,"avec vos parents, votre famille",Excellent;  Tradition,pour me faire plaisir; pour faire un cadeau,Gateau basque,Espelines,Chocolat,Proximité,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Alimentation santé bien être et transparence; Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Profession libérale,50/64,2.0,,Non,**********
37,2022-06-08,St Jean,95600,Depuis quelques années,visite exceptionnelle,par hasard en passant devant,Savoureux; Belle,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Viennoiseries; Pâtisseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Diversifier les parfums de gateaux basques,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Cadre et profession intellectuelle supérieure,35/49,2.0,,Non,
38,2022-06-08,St Jean,54000,C’est une de mes premières visites,visite exceptionnelle,par hasard en passant devant,Local,pour me faire plaisir,Glaces chocolat,,Chocolat; Pâtisseries,Prix; Proximité,Toujours dans la même boutique,Non,Non,Associé à la région,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Digital et alimentation (recherches en amont, acte d’achat, évaluation de l’acte d’achat)",Femme,Etudiant,18/24,6.0,entre 11 et 15 ans,Non,
39,2022-06-08,St Jean,64310,Depuis quelques années,visite mensuelle,par hasard en passant devant,Bien; Chic,pour me faire plaisir,Gateau basque,Je ne sais pas,Gateau basque; Macarons,Proximité,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Employé,35/49,3.0,entre 5 et 10 ans,Non,
40,2022-06-08,St Jean,64500,Depuis toujours,visite hebdomadaire,"avec vos parents, votre famille",Fiable; Bon,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque; Gateau de voyage Paries,Gateau de voyage Paries,Pâtisseries Russe,Proximité,Toujours dans la même boutique,Non,,,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité, Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,"Artisan, commerçant, chef d'entreprise",35/49,4.0,"entre 11 et 15 ans, plus de 15 ans",Non,**********
41,2022-06-08,St Jean,86700,C’est une de mes premières visites,C'est la première fois !,par hasard en passant devant,Accueillant; Variété,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque,,,,Toujours dans la même boutique,Non,Non,Associé à la région,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Faire soi-même; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Employé,25/34,1.0,,Non,
42,2022-06-08,St Jean,64500,Depuis toujours,visite mensuelle,"par hasard en passant devant; avec vos parents, votre famille",Fiable; Doux,pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Pâtisseries Fraisier,Pâtisseries,Proximité,Toujours dans la même boutique,Non,,,Je ne sais pas,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Homme,Profession libérale,35/49,4.0,- de 5 ans,Non,
43,2022-06-09,Biarritz,64200,Depuis quelques années,visite mensuelle,"avec vos parents, votre famille",Parfait;  Gâteau basque,pour régaler ma famille;  pour faire un cadeau,Gateau basque aux agrumes; Gateau de Pâques,Gateau basque aux agrumes,Chocolat,Trop de monde,En fonction de l'endroit où je me trouve,Non,,,Je ne sais pas,"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Profession libérale,50/64,3.0,plus de 15 ans,Non,
44,2022-06-09,Biarritz,64***,Depuis toujours,visite mensuelle,"avec vos parents, votre famille",Tradition,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Mouchous,Je ne sais pas,"Pâtisseries, Viennoiseries",Habitude,Toujours dans la même boutique,Non,,,Faire des boites de 12 mouchous (comme macarons),,Femme,Retraité,65 et +,2.0,,Non,
45,2022-06-09,Biarritz,64200,C’est une de mes premières visites,C'est la première fois !,"par hasard en passant devant; avec vos parents, votre famille",Attrayant,pour faire un cadeau,,,Chocolat; Macarons,Bon aussi ailleurs,Toujours dans la même boutique,Non,,,,,Homme,Retraité,65 et +,2.0,,Non,
46,2022-06-09,Biarritz,12200,C’est une de mes premières visites,C'est la première fois !,"avec vos parents, votre famille",Bon; Belle,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque,,,,,Non,oui,Proximité,,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Tradition et authenticité",Femme,Employé,18/24,2.0,,Non,
47,2022-06-09,Biarritz,18200,Depuis quelques années,visite exceptionnelle,par hasard en passant devant; bouche à oreille,Savoureux,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque cerise,Gateau de voyage Paries,Pâtisseries,Proximité,Toujours dans la même boutique,Non,oui,Proximité,Rien,"Alimentation durable (naturalité, moins de gaspillage, préoccupations écologiques et éthiques); Alimentation santé bien être et transparence; Faire soi-même",Femme,Cadre et profession intellectuelle supérieure,25/34,2.0,,Non,
48,2022-06-09,Biarritz,92000,Depuis quelques années,visite exceptionnelle,bouche à oreille,Bien,pour me faire plaisir,Gateau basque,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,oui,Gateau basque,Rien,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,Retraité,65 et +,3.0,plus de 15 ans,Non,
49,2022-06-09,Biarritz,64200,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Bien,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Chocolat,Bon aussi ailleurs,En fonction de l'endroit où je me trouve,Non,,,Rien,Tradition et authenticité,Homme,Retraité,65 et +,2.0,,Non,
50,2022-06-09,Biarritz,64200,Depuis quelques années,visite mensuelle,par hasard en passant devant,Originalité; Tradition,pour me faire plaisir; pour régaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Gateau basque,Gateau basque aux agrumes,Viennoiseries; Pâtisseries,Proximité,En fonction de l'endroit où je me trouve,Non,,,Faire du pain d'épices à noël (hiver),"Faire soi-même; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,Retraité,65 et +,2.0,,Non,**********
51,2022-06-09,Biarritz,75017,Depuis toujours,visite exceptionnelle,"avec vos parents, votre famille",Bon; Tradition,pour me faire plaisir,Kanougas,Gateau basque chocolat,Gateau basque,Bon aussi ailleurs,En fonction de l'endroit où je me trouve,Non,Non,Associé à la région,Je ne sais pas,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Homme,"Artisan, commerçant, chef d'entreprise",65 et +,2.0,,Non,
52,2022-06-09,Biarritz,64200,Depuis toujours,visite exceptionnelle,par hasard en passant devant,Bon; Qualité,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitée,Espelines,Pâtisseries,Chocolat,Proximité; Chocolat gout différent,Toujours dans la même boutique,Non,Non,Associé à la région,Rien,"Alimentation santé bien être et transparence; Tradition et authenticité; Consommation économe (recherche de bonnes affaires, de prix bas, de promotions…)",Femme,Retraité,65 et +,3.0,plus de 15 ans,Non,
53,2022-06-09,Biarritz,40700,Depuis quelques années,visite mensuelle,par hasard en passant devant; bouche à oreille,Savoureux; Qualité,pour me faire plaisir,Mouchous,Je ne sais pas,Aucun,,Toujours dans la même boutique,Non,,,Diversifier les parfums de mouchous,"Alimentation santé bien être et transparence; Tradition et authenticité; Localisme (consommation locale, circuits courts, relations avec le primeur l’artisan)",Femme,"Artisan, commerçant, chef d'entreprise",25/34,3.0,,Non,
